"block","date","time","balance"
"4,439,421","2022/07/03 05:09:00 +02:00","1656817740","20996931.8150 RBTC"
"4,438,840","2022/07/02 23:45:13 +02:00","1656798313","20996931.8200 RBTC"
"4,438,242","2022/07/02 18:15:37 +02:00","1656778537","20996931.8700 RBTC"
"4,437,862","2022/07/02 14:33:23 +02:00","1656765203","20996931.9254 RBTC"
"4,437,696","2022/07/02 13:00:18 +02:00","1656759618","20996931.9854 RBTC"
"4,436,557","2022/07/02 02:19:17 +02:00","1656721157","20996950.2663 RBTC"
"4,435,911","2022/07/01 20:27:21 +02:00","1656700041","20996950.2611 RBTC"
"4,434,031","2022/07/01 02:23:08 +02:00","1656634988","20996950.2687 RBTC"
"4,432,274","2022/06/30 10:00:16 +02:00","1656576016","20996950.0887 RBTC"
"4,430,424","2022/06/29 16:18:59 +02:00","1656512339","20996950.0937 RBTC"
"4,430,130","2022/06/29 13:28:23 +02:00","1656502103","20996949.8983 RBTC"
"4,428,632","2022/06/28 23:55:19 +02:00","1656453319","20996950.0683 RBTC"
"4,428,131","2022/06/28 19:18:05 +02:00","1656436685","20996950.0183 RBTC"
"4,425,986","2022/06/27 23:15:42 +02:00","1656364542","20996950.1283 RBTC"
"4,426,012","2022/06/27 23:30:14 +02:00","1656365414","20996950.1183 RBTC"
"4,425,566","2022/06/27 19:05:58 +02:00","1656349558","20996950.1333 RBTC"
"4,425,175","2022/06/27 15:17:52 +02:00","1656335872","20996950.0833 RBTC"
"4,424,926","2022/06/27 13:05:43 +02:00","1656327943","20996949.5833 RBTC"
"4,424,814","2022/06/27 12:03:24 +02:00","1656324204","20996947.0833 RBTC"
"4,424,696","2022/06/27 10:51:06 +02:00","1656319866","20996947.0927 RBTC"
"4,423,890","2022/06/27 03:17:24 +02:00","1656292644","20996947.1017 RBTC"
"4,423,767","2022/06/27 02:06:24 +02:00","1656288384","20996942.5917 RBTC"
"4,423,241","2022/06/26 21:09:24 +02:00","1656270564","20996942.6017 RBTC"
"4,422,161","2022/06/26 10:51:19 +02:00","1656233479","20996942.6067 RBTC"
"4,420,726","2022/06/25 21:37:10 +02:00","1656185830","20996942.6167 RBTC"
"4,420,611","2022/06/25 20:33:53 +02:00","1656182033","20996942.4167 RBTC"
"4,420,329","2022/06/25 17:57:09 +02:00","1656172629","20996934.4167 RBTC"
"4,419,118","2022/06/25 06:45:16 +02:00","1656132316","20996929.3777 RBTC"
"4,419,144","2022/06/25 07:01:29 +02:00","1656133289","20996934.4227 RBTC"
"4,418,795","2022/06/25 03:47:20 +02:00","1656121640","20996929.8827 RBTC"
"4,418,875","2022/06/25 04:27:11 +02:00","1656124031","20996929.3827 RBTC"
"4,418,771","2022/06/25 03:33:35 +02:00","1656120815","20996929.7827 RBTC"
"4,417,520","2022/06/24 15:38:01 +02:00","1656077881","20996930.0927 RBTC"
"4,417,286","2022/06/24 13:25:03 +02:00","1656069903","20996928.6636 RBTC"
"4,417,334","2022/06/24 13:52:29 +02:00","1656071549","20996930.1337 RBTC"
"4,415,092","2022/06/23 17:21:19 +02:00","1655997679","20996928.1335 RBTC"
"4,412,953","2022/06/22 21:31:17 +02:00","1655926277","20996928.1435 RBTC"
"4,412,578","2022/06/22 18:04:24 +02:00","1655913864","20996928.1542 RBTC"
"4,412,017","2022/06/22 12:47:32 +02:00","1655894852","20996928.1472 RBTC"
"4,409,774","2022/06/21 15:48:08 +02:00","1655819288","20996925.1472 RBTC"
"4,408,396","2022/06/21 03:06:27 +02:00","1655773587","20996925.1582 RBTC"
"4,407,198","2022/06/20 16:00:10 +02:00","1655733610","20996926.6043 RBTC"
"4,406,659","2022/06/20 11:06:35 +02:00","1655715995","20996927.6143 RBTC"
"4,405,982","2022/06/20 04:52:57 +02:00","1655693577","20996927.6195 RBTC"
"4,404,998","2022/06/19 19:45:29 +02:00","1655660729","20996924.2331 RBTC"
"4,404,703","2022/06/19 17:09:07 +02:00","1655651347","20996923.9685 RBTC"
"4,404,813","2022/06/19 18:06:44 +02:00","1655654804","20996924.2285 RBTC"
"4,403,685","2022/06/19 07:48:32 +02:00","1655617712","20996934.0185 RBTC"
"4,403,191","2022/06/19 03:21:57 +02:00","1655601717","20996934.0931 RBTC"
"4,403,206","2022/06/19 03:30:08 +02:00","1655602208","20996934.0275 RBTC"
"4,402,748","2022/06/18 23:09:41 +02:00","1655586581","20996934.1931 RBTC"
"4,402,688","2022/06/18 22:38:23 +02:00","1655584703","20996934.2246 RBTC"
"4,402,046","2022/06/18 16:48:21 +02:00","1655563701","20996933.2246 RBTC"
"4,401,898","2022/06/18 15:25:33 +02:00","1655558733","20996932.7162 RBTC"
"4,401,608","2022/06/18 12:52:57 +02:00","1655549577","20996932.3412 RBTC"
"4,401,258","2022/06/18 09:30:58 +02:00","1655537458","20996932.1212 RBTC"
"4,399,292","2022/06/17 14:46:20 +02:00","1655469980","20996931.3212 RBTC"
"4,398,771","2022/06/17 10:01:12 +02:00","1655452872","20996926.3212 RBTC"
"4,398,612","2022/06/17 08:32:45 +02:00","1655447565","20996926.2212 RBTC"
"4,397,917","2022/06/17 02:19:24 +02:00","1655425164","20996912.5212 RBTC"
"4,397,038","2022/06/16 17:57:54 +02:00","1655395074","20996912.2824 RBTC"
"4,397,107","2022/06/16 18:37:17 +02:00","1655397437","20996912.4962 RBTC"
"4,396,913","2022/06/16 16:45:06 +02:00","1655390706","20996911.8594 RBTC"
"4,395,734","2022/06/16 05:35:56 +02:00","1655350556","20996912.4419 RBTC"
"4,395,587","2022/06/16 04:12:56 +02:00","1655345576","20996912.2219 RBTC"
"4,394,196","2022/06/15 15:45:43 +02:00","1655300743","20996912.4513 RBTC"
"4,393,914","2022/06/15 13:14:15 +02:00","1655291655","20996912.4566 RBTC"
"4,391,200","2022/06/14 11:59:34 +02:00","1655200774","20996903.4566 RBTC"
"4,391,224","2022/06/14 12:13:12 +02:00","1655201592","20996904.4566 RBTC"
"4,389,735","2022/06/13 22:42:34 +02:00","1655152954","20996916.0206 RBTC"
"4,389,812","2022/06/13 23:28:18 +02:00","1655155698","20996903.0206 RBTC"
"4,389,096","2022/06/13 17:03:12 +02:00","1655132592","20996926.0206 RBTC"
"4,389,058","2022/06/13 16:40:02 +02:00","1655131202","20996926.0531 RBTC"
"4,388,745","2022/06/13 13:35:34 +02:00","1655120134","20996925.0531 RBTC"
"4,388,648","2022/06/13 12:43:56 +02:00","1655117036","20996923.0203 RBTC"
"4,388,500","2022/06/13 11:17:54 +02:00","1655111874","20996918.8767 RBTC"
"4,388,270","2022/06/13 09:08:03 +02:00","1655104083","20996915.9443 RBTC"
"4,387,930","2022/06/13 05:53:02 +02:00","1655092382","20996910.9443 RBTC"
"4,387,321","2022/06/12 23:55:33 +02:00","1655070933","20996902.9443 RBTC"
"4,386,031","2022/06/12 11:47:19 +02:00","1655027239","20996899.5707 RBTC"
"4,385,624","2022/06/12 07:52:34 +02:00","1655013154","20996898.3707 RBTC"
"4,384,588","2022/06/11 22:10:36 +02:00","1654978236","20996898.3663 RBTC"
