,Date,No. of BTC Traded per month,Open,High,Low,Close,Volume,Market Cap,circulating supply,Total Value Locked (TVL)
0,"June 28, 2022",248080,20732,21164,20229,20281,21381535161,386949194398,5031310480,77
1,"June 27, 2022",258883,21028,21478,20620,20735,20965695707,395606854741,5367939005,74
2,"June 26, 2022",206755,21496,21784,21016,21027,18027170497,401157940864,4347437385,92
3,"June 25, 2022",218017,21234,21521,20965,21502,18372538715,410202265385,4687801534,88
4,"June 24, 2022",254348,21085,21473,20778,21232,24957784918,405018505024,5400316736,75
5,"June 23, 2022",255213,19987,21136,19950,21086,26188097173,402219959761,5381421318,75
6,"June 22, 2022",255472,20719,20836,19848,19987,28574793478,381240087224,5106118864,75
7,"June 21, 2022",254438,20594,21621,20415,20711,28970212744,395025644880,5269665418,75
8,"June 20, 2022",236636,20553,20913,19689,20600,30818458597,392888024959,4874701600,81
9,"June 19, 2022",199777,19011,20684,18067,20553,35329942625,391988917194,4106016681,95
10,"June 18, 2022",247890,20473,20736,17709,19018,42009436760,362685324229,4714372020,77
11,"June 17, 2022",251574,20386,21243,20327,20471,27132421514,390391528176,5149971354,76
12,"June 16, 2022",251253,22576,22869,20265,20382,31183975654,388664840557,5121038646,76
13,"June 15, 2022",296312,22197,22643,20178,22573,54912007015,430432160006,6688650776,64
14,"June 14, 2022",283231,22488,23019,20951,22207,50913575242,423429131864,6289710817,67
15,"June 13, 2022",272503,26738,26796,22141,22487,68204556440,428759852105,6127774961,70
16,"June 12, 2022",215473,28374,28503,26763,26763,34163220274,510252464821,5766703899,88
17,"June 11, 2022",230002,29085,29402,28236,28361,27246574439,540698499860,6523086722,83
18,"June 10, 2022",261856,30110,30246,28978,29084,29867476527,554455834486,7615819904,73
19,"June 09, 2022",262105,30215,30609,30020,30112,21692004719,574029141739,7892505760,73
20,"June 08, 2022",261597,31151,31254,29944,30214,30242059107,575953219488,7903891758,73
21,"June 07, 2022",263641,31372,31490,29312,31155,40770974039,593857882017,8213735355,72
22,"June 06, 2022",268921,29910,31693,29894,31371,31947336829,597927548347,8436320691,71
23,"June 05, 2022",201341,29835,30118,29574,29907,17264085441,569996838237,6021505287,95
24,"June 04, 2022",218629,29706,29931,29500,29833,16588370958,568564420350,6522358957,87
25,"June 03, 2022",267517,30468,30633,29376,29704,26175547452,566088081691,7946324968,71
26,"June 02, 2022",264901,29795,30605,29653,30467,29083562061,580603466872,8070738767,72
27,"June 01, 2022",272165,31793,31957,29502,29799,41135817341,567842680886,8110244835,70
28,"May 31, 2022",276273,31724,32250,31286,31792,33538210634,605797887876,8783271216,69
29,"May 30, 2022",271819,29443,31950,29304,31726,39277993274,604513442526,8623729594,70
30,"May 29, 2022",207859,29020,29498,28841,29446,18093886409,561034743433,6120616114,92
31,"May 28, 2022",226794,28842,29136,28555,29023,19252320708,552958193308,6582242262,84
32,"May 27, 2022",270453,29251,29347,28327,28628,36582005748,545388222664,7742528484,70
33,"May 26, 2022",262367,29565,29834,28262,29267,36774325352,557547946793,7678694989,73
34,"May 25, 2022",288842,29653,30158,29385,29562,27525063551,563145244692,8538747204,66
35,"May 24, 2022",235866,29101,29774,28787,29656,26616506245,564895173841,6994842096,81
36,"May 23, 2022",265106,30309,30591,28976,29099,31483454557,554268758109,7714319494,72
37,"May 22, 2022",209047,29432,30426,29275,30324,21631532270,577568895836,6339141228,91
38,"May 21, 2022",225225,29200,29589,29027,29432,17274840442,560565793082,6628822200,85
39,"May 20, 2022",267034,30311,30665,28794,29201,30749382605,556131920269,7797659834,71
40,"May 19, 2022",262479,28720,30431,28709,30314,33773447707,577316228899,7956788406,73
41,"May 18, 2022",262907,30424,30619,28720,28720,31285268319,546936441380,7550689040,72
42,"May 17, 2022",278496,29862,30694,29570,30426,29101473475,579391415566,8473519296,68
43,"May 16, 2022",272134,31304,31305,29252,29863,32613897286,568643328349,8126737642,70
44,"May 15, 2022",235433,30099,31308,29528,31305,25835372065,596074575228,7370230065,81
45,"May 14, 2022",290225,29286,30193,28703,30101,28579868620,573129618195,8736062725,66
46,"May 13, 2022",269880,29031,30925,28782,29283,42841124537,557525025253,7902896040,71
47,"May 12, 2022",274204,28937,30032,26350,29048,66989173272,553017241735,7965077792,69
48,"May 11, 2022",262683,31016,32013,28170,28936,70388855818,550870071634,7600995288,72
49,"May 10, 2022",279658,30274,32596,29945,31023,59811038817,590565398299,8675830134,68
50,"May 09, 2022",279511,34060,34222,30297,30297,63355494961,576716899023,8468344767,68
51,"May 08, 2022",233892,35503,35503,33879,34059,36763041910,648302121215,7966127628,81
52,"May 07, 2022",231623,36042,36130,34941,35502,24375896406,675729532874,8223079746,82
53,"May 06, 2022",286887,36573,36624,35482,36041,37795577489,685953792236,10339694367,66
54,"May 05, 2022",315759,39696,39789,35857,36575,43106256317,696088266356,11548885425,60
55,"May 04, 2022",233045,37748,39903,37732,39698,36754404490,755491473700,9251420410,82
56,"May 03, 2022",277895,38528,38630,37586,37750,27326943244,718385701943,10490536250,68
57,"May 02, 2022",272206,38472,39075,38157,38529,32922642426,733170725791,10487824974,70
58,"May 01, 2022",232322,37713,38628,37586,38469,27002760110,731986764312,8937195018,82
