date,No. of BTC Traded per month
"June 28, 2022",248080
"June 27, 2022",258883
"June 26, 2022",206755
"June 25, 2022",218017
"June 24, 2022",254348
"June 23, 2022",255213
"June 22, 2022",255472
"June 21, 2022",254438
"June 20, 2022",236636
"June 19, 2022",199777
"June 18, 2022",247890
"June 17, 2022",251574
"June 16, 2022",251253
"June 15, 2022",296312
"June 14, 2022",283231
"June 13, 2022",272503
"June 12, 2022",215473
"June 11, 2022",230002
"June 10, 2022",261856
"June 09, 2022",262105
"June 08, 2022",261597
"June 07, 2022",263641
"June 06, 2022",268921
"June 05, 2022",201341
"June 04, 2022",218629
"June 03, 2022",267517
"June 02, 2022",264901
"June 01, 2022",272165
"May 31, 2022",276273
"May 30, 2022",271819
"May 29, 2022",207859
"May 28, 2022",226794
"May 27, 2022",270453
"May 26, 2022",262367
"May 25, 2022",288842
"May 24, 2022",235866
"May 23, 2022",265106
"May 22, 2022",209047
"May 21, 2022",225225
"May 20, 2022",267034
"May 19, 2022",262479
"May 18, 2022",262907
"May 17, 2022",278496
"May 16, 2022",272134
"May 15, 2022",235433
"May 14, 2022",290225
"May 13, 2022",269880
"May 12, 2022",274204
"May 11, 2022",262683
"May 10, 2022",279658
"May 09, 2022",279511
"May 08, 2022",233892
"May 07, 2022",231623
"May 06, 2022",286887
"May 05, 2022",315759
"May 04, 2022",233045
"May 03, 2022",277895
"May 02, 2022",272206
"May 01, 2022",232322
"April 30, 2022",261630
"April 29, 2022",286563
"April 28, 2022",275765
"April 27, 2022",287105
"April 26, 2022",273297
"April 25, 2022",277417
"April 24, 2022",221992
"April 23, 2022",234978
"April 22, 2022",260930
"April 21, 2022",282438
"April 20, 2022",285655
"April 19, 2022",273168
"April 18, 2022",246421
"April 17, 2022",207324
"April 16, 2022",225486
"April 15, 2022",254831
"April 14, 2022",265537
"April 13, 2022",276968
"April 12, 2022",278839
"April 11, 2022",276623
"April 10, 2022",216446
"April 09, 2022",232792
"April 08, 2022",266805
"April 07, 2022",269404
"April 06, 2022",273640
"April 05, 2022",273430
"April 04, 2022",275106
"April 03, 2022",225564
"April 02, 2022",254442
"April 01, 2022",284105
"March 31, 2022",279210
"March 30, 2022",272864
"March 29, 2022",286940
"March 28, 2022",293304
"March 27, 2022",218202
"March 26, 2022",231031
"March 25, 2022",290719
"March 24, 2022",262987
"March 23, 2022",264182
"March 22, 2022",264569
"March 21, 2022",259912
"March 20, 2022",210547
"March 19, 2022",242424
"March 18, 2022",261318
"March 17, 2022",278800
"March 16, 2022",276390
"March 15, 2022",263178
"March 14, 2022",259592
"March 13, 2022",208092
"March 12, 2022",225148
"March 11, 2022",252383
"March 10, 2022",261553
"March 09, 2022",272805
"March 08, 2022",255771
"March 07, 2022",255441
"March 06, 2022",207116
"March 05, 2022",225321
"March 04, 2022",262101
"March 03, 2022",268244
"March 02, 2022",288657
"March 01, 2022",280634
"February 28, 2022",270918
"February 27, 2022",211164
"February 26, 2022",220423
"February 25, 2022",260340
"February 24, 2022",254139
"February 23, 2022",251275
"February 22, 2022",260265
"February 21, 2022",237402
"February 20, 2022",200535
"February 19, 2022",220673
"February 18, 2022",261055
"February 17, 2022",255573
"February 16, 2022",266788
"February 15, 2022",273623
"February 14, 2022",247592
"February 13, 2022",208977
"February 12, 2022",228189
"February 11, 2022",258595
"February 10, 2022",260813
"February 09, 2022",265804
"February 08, 2022",276850
"February 07, 2022",262034
"February 06, 2022",219196
"February 05, 2022",258646
"February 04, 2022",247946
"February 03, 2022",265344
"February 02, 2022",278985
"February 01, 2022",272984
"January 31, 2022",263410
"January 30, 2022",207173
"January 29, 2022",231038
"January 28, 2022",264609
"January 27, 2022",255925
"January 26, 2022",261070
"January 25, 2022",265128
"January 24, 2022",270712
"January 23, 2022",203986
"January 22, 2022",250294
"January 21, 2022",272348
"January 20, 2022",271265
"January 19, 2022",270334
"January 18, 2022",265057
"January 17, 2022",258141
"January 16, 2022",216151
"January 15, 2022",234373
"January 14, 2022",270882
"January 13, 2022",274515
"January 12, 2022",271933
"January 11, 2022",277698
"January 10, 2022",266743
"January 09, 2022",210143
"January 08, 2022",223920
"January 07, 2022",255381
"January 06, 2022",264899
"January 05, 2022",272155
"January 04, 2022",274544
"January 03, 2022",234793
"January 02, 2022",196865
"January 01, 2022",186834
"December 31, 2021",269540
"December 30, 2021",245021
"December 29, 2021",276083
"December 28, 2021",265422
"December 27, 2021",249548
"December 26, 2021",198574
"December 25, 2021",207803
"December 24, 2021",260565
