Date,balance
2021-01-02,20999451
2021-01-06,62998353
2021-01-07,62998352
2021-01-10,125996700
2021-01-11,20999450
2021-01-13,20999449
2021-01-14,20999449
2021-01-16,20999446
2021-01-17,20999445
2021-01-20,20999445
2021-01-21,41998890
2021-01-23,20999446
2021-01-25,20999446
2021-01-26,41998890
2021-01-30,41998868
2021-01-31,20999430
2021-02-01,41998860
2021-02-02,41998859
2021-02-03,20999429
2021-02-04,41998856
2021-02-05,20999428
2021-02-06,20999428
2021-02-07,20999428
2021-02-08,41998856
2021-02-09,83997709
2021-02-10,293991955
2021-02-11,20999424
2021-02-12,20999426
2021-02-13,104997114
2021-02-14,41998845
2021-02-15,20999423
2021-02-17,20999423
2021-02-20,20999423
2021-02-22,41998847
2021-02-24,41998844
2021-02-27,20999420
2021-03-01,20999420
2021-03-02,20999420
2021-03-03,20999420
2021-03-04,20999420
2021-03-05,41998840
2021-03-08,62998258
2021-03-09,20999419
2021-03-11,20999419
2021-03-12,20999419
2021-03-13,20999419
2021-03-14,41998838
2021-03-15,20999419
2021-03-16,20999414
2021-03-17,20999414
2021-03-18,62998226
2021-03-19,41998793
2021-03-20,41998772
2021-03-21,41998772
2021-03-22,20999386
2021-03-23,41998772
2021-03-24,83997473
2021-03-25,62998011
2021-03-26,41998558
2021-03-27,20999252
2021-03-28,41998404
2021-03-29,20999202
2021-03-30,20999170
2021-03-31,20999151
2021-04-01,62997423
2021-04-02,20999105
2021-04-03,20999075
2021-04-07,20999075
2021-04-08,20999075
2021-04-09,83996300
2021-04-10,104995381
2021-04-11,20999077
2021-04-12,41998154
2021-04-13,41998058
2021-04-14,209989460
2021-04-15,83995674
2021-04-16,83995334
2021-04-17,41997592
2021-04-18,83995186
2021-04-19,167990385
2021-04-20,83995236
2021-04-22,104994093
2021-04-23,167990224
2021-04-24,20998714
2021-04-25,41997429
2021-04-26,104993241
2021-04-27,41997304
2021-04-28,83994417
2021-04-29,41997183
2021-04-30,62995780
2021-05-01,125991588
2021-05-02,62995773
2021-05-03,125991146
2021-05-04,104992547
2021-05-05,146989250
2021-05-06,62995406
2021-05-07,146989331
2021-05-08,83993846
2021-05-09,188986032
2021-05-10,125990540
2021-05-11,272979216
2021-05-12,188985270
2021-05-13,125990269
2021-05-14,20998383
2021-05-15,188985504
2021-05-16,83993586
2021-05-17,83993603
2021-05-18,83993627
2021-05-19,125990487
2021-05-20,62995279
2021-05-21,104992172
2021-05-22,83993788
2021-05-23,125990721
2021-05-24,209985128
2021-05-25,20998536
2021-05-26,104992370
2021-05-27,167987163
2021-05-28,104991367
2021-05-29,41996457
2021-05-30,41996432
2021-05-31,20998216
2021-06-01,146987299
2021-06-02,167985264
2021-06-03,104990710
2021-06-04,83992465
2021-06-05,83992428
2021-06-06,83992406
2021-06-07,62994252
2021-06-08,104990354
2021-06-09,125988479
2021-06-10,167984681
2021-06-11,167984450
2021-06-12,83992131
2021-06-13,125988044
2021-06-14,188981818
2021-06-15,251975867
2021-06-16,125987925
2021-06-17,167983636
2021-06-18,62993765
2021-06-19,83991693
2021-06-20,104989608
2021-06-21,83991694
2021-06-22,230977185
2021-06-23,146985543
2021-06-24,146985531
2021-06-25,104989765
2021-06-26,62993894
2021-06-27,20997967
2021-06-28,62993915
2021-06-29,125987852
2021-06-30,41995957
2021-07-01,20997981
2021-07-02,41995969
2021-07-03,62993949
2021-07-04,83991917
2021-07-05,41995956
2021-07-06,20997978
2021-07-07,83991930
2021-07-08,41995972
2021-07-09,62993962
2021-07-10,62993955
2021-07-12,83991953
2021-07-13,167984006
2021-07-14,83992024
2021-07-16,167983874
2021-07-17,125987908
2021-07-18,83991951
2021-07-19,125987946
2021-07-21,41995981
2021-07-22,104989958
2021-07-23,41995986
2021-07-24,41995984
