,Date,No. of BTC Traded per month,Open,High,Low,Close,Volume,Market Cap,circulating supply,Total Value Locked (TVL),Close_MA,Close_cumulative_MA,Close_exponential_MA
0,2022-06-28,248080,20732,21164,20229,20281,21381535161,386949194398,5031310480,77,,20281.0,20281.0
1,2022-06-27,258883,21028,21478,20620,20735,20965695707,395606854741,5367939005,74,,20508.0,20516.0
2,2022-06-26,206755,21496,21784,21016,21027,18027170497,401157940864,4347437385,92,,20681.0,20698.0
3,2022-06-25,218017,21234,21521,20965,21502,18372538715,410202265385,4687801534,88,,20886.0,20919.0
4,2022-06-24,254348,21085,21473,20778,21232,24957784918,405018505024,5400316736,75,,20955.0,20990.0
5,2022-06-23,255213,19987,21136,19950,21086,26188097173,402219959761,5381421318,75,,20977.0,21009.0
6,2022-06-22,255472,20719,20836,19848,19987,28574793478,381240087224,5106118864,75,,20836.0,20832.0
7,2022-06-21,254438,20594,21621,20415,20711,28970212744,395025644880,5269665418,75,,20820.0,20813.0
8,2022-06-20,236636,20553,20913,19689,20600,30818458597,392888024959,4874701600,81,,20796.0,20783.0
9,2022-06-19,199777,19011,20684,18067,20553,35329942625,391988917194,4106016681,95,,20771.0,20752.0
10,2022-06-18,247890,20473,20736,17709,19018,42009436760,362685324229,4714372020,77,,20612.0,20537.0
11,2022-06-17,251574,20386,21243,20327,20471,27132421514,390391528176,5149971354,76,,20600.0,20529.0
12,2022-06-16,251253,22576,22869,20265,20382,31183975654,388664840557,5121038646,76,,20583.0,20513.0
13,2022-06-15,296312,22197,22643,20178,22573,54912007015,430432160006,6688650776,64,,20726.0,20732.0
14,2022-06-14,283231,22488,23019,20951,22207,50913575242,423429131864,6289710817,67,,20824.0,20882.0
15,2022-06-13,272503,26738,26796,22141,22487,68204556440,428759852105,6127774961,70,,20928.0,21040.0
16,2022-06-12,215473,28374,28503,26763,26763,34163220274,510252464821,5766703899,88,,21271.0,21585.0
17,2022-06-11,230002,29085,29402,28236,28361,27246574439,540698499860,6523086722,83,,21665.0,22210.0
18,2022-06-10,261856,30110,30246,28978,29084,29867476527,554455834486,7615819904,73,,22056.0,22828.0
19,2022-06-09,262105,30215,30609,30020,30112,21692004719,574029141739,7892505760,73,,22459.0,23466.0
20,2022-06-08,261597,31151,31254,29944,30214,30242059107,575953219488,7903891758,73,,22828.0,24043.0
21,2022-06-07,263641,31372,31490,29312,31155,40770974039,593857882017,8213735355,72,,23206.0,24640.0
22,2022-06-06,268921,29910,31693,29894,31371,31947336829,597927548347,8436320691,71,,23561.0,25193.0
23,2022-06-05,201341,29835,30118,29574,29907,17264085441,569996838237,6021505287,95,,23826.0,25574.0
24,2022-06-04,218629,29706,29931,29500,29833,16588370958,568564420350,6522358957,87,,24066.0,25913.0
25,2022-06-03,267517,30468,30633,29376,29704,26175547452,566088081691,7946324968,71,,24283.0,26210.0
26,2022-06-02,264901,29795,30605,29653,30467,29083562061,580603466872,8070738767,72,,24512.0,26539.0
27,2022-06-01,272165,31793,31957,29502,29799,41135817341,567842680886,8110244835,70,,24701.0,26788.0
28,2022-05-31,276273,31724,32250,31286,31792,33538210634,605797887876,8783271216,69,,24945.0,27165.0
29,2022-05-30,271819,29443,31950,29304,31726,39277993274,604513442526,8623729594,70,25171.333333333332,25171.0,27505.0
30,2022-05-29,207859,29020,29498,28841,29446,18093886409,561034743433,6120616114,92,25476.833333333332,25309.0,27649.0
31,2022-05-28,226794,28842,29136,28555,29023,19252320708,552958193308,6582242262,84,25753.1,25425.0,27749.0
32,2022-05-27,270453,29251,29347,28327,28628,36582005748,545388222664,7742528484,70,26006.466666666667,25522.0,27813.0
33,2022-05-26,262367,29565,29834,28262,29267,36774325352,557547946793,7678694989,73,26265.3,25632.0,27918.0
34,2022-05-25,288842,29653,30158,29385,29562,27525063551,563145244692,8538747204,66,26542.966666666667,25745.0,28035.0
35,2022-05-24,235866,29101,29774,28787,29656,26616506245,564895173841,6994842096,81,26828.633333333335,25853.0,28150.0
36,2022-05-23,265106,30309,30591,28976,29099,31483454557,554268758109,7714319494,72,27132.366666666665,25941.0,28217.0
37,2022-05-22,209047,29432,30426,29275,30324,21631532270,577568895836,6339141228,91,27452.8,26056.0,28365.0
