Date,Open,High,Low,Close,Volume,Market Cap,Balance_in_RBTC,Circulating Supply,Balance in USD,Total Value Locked (TVL) in USD
2022-06-28,20732,21164,20229,20281,21381535161,386949194398,41993900,19079394,794713560550,794694481156
2022-06-27,21028,21478,20620,20735,20965695707,395606854741,188972534,19079183,3576210719683,3576191640500
2022-06-26,21496,21784,21016,21027,18027170497,401157940864,41993886,19078230,794713295607,794694217377
2022-06-25,21234,21521,20965,21502,18372538715,410202265385,167975471,19077400,3178851800940,3178832723540
2022-06-24,21085,21473,20778,21232,24957784918,405018505024,62990789,19075853,1192069186430,1192050110577
2022-06-23,19987,21136,19950,21086,26188097173,402219959761,20996928,19075214,397356363936,397337288722
2022-06-22,20719,20836,19848,19987,28574793478,381240087224,62990784,19074403,1192069091808,1192050017405
2022-06-21,20594,21621,20415,20711,28970212744,395025644880,41993850,19073229,794712614325,794693541096
2022-06-20,20553,20913,19689,20600,30818458597,392888024959,62990783,19072234,1192069072884,1192050000650
2022-06-19,19011,20684,18067,20553,35329942625,391988917194,125981574,19072102,2384138297163,2384119225061
2022-06-18,20473,20736,17709,19018,42009436760,362685324229,125981598,19070634,2384138751351,2384119680717
2022-06-17,20386,21243,20327,20471,27132421514,390391528176,83987696,19070467,1589425152952,1589406082485
2022-06-16,22576,22869,20265,20382,31183975654,388664840557,104984560,19069024,1986780305720,1986761236696
2022-06-15,22197,22643,20178,22573,54912007015,430432160006,41993824,19068452,794712122288,794693053836
2022-06-14,22488,23019,20951,22207,50913575242,423429131864,41993807,19067372,794711800572,794692733200
2022-06-13,26738,26796,22141,22487,68204556440,428759852105,188972265,19067010,3576205628992,3576186561982
2022-06-12,28374,28503,26763,26763,34163220274,510252464821,62990701,19065593,1192067521074,1192048455481
2022-06-11,29085,29402,28236,28361,27246574439,540698499860,146978260,19064860,2781490081370,2781471016510
2022-06-10,30110,30246,28978,29084,29867476527,554455834486,62990667,19063947,1192066877642,1192047813695
2022-06-09,30215,30609,30020,30112,21692004719,574029141739,20996889,19063136,397355625880,397336562744
2022-06-08,31151,31254,29944,30214,30242059107,575953219488,104984314,19062462,1986775650293,1986756587831
2022-06-07,31372,31490,29312,31155,40770974039,593857882017,62990547,19061399,1192064606702,1192045545303
2022-06-06,29910,31693,29894,31371,31947336829,597927548347,125981067,19059882,2384128702442,2384109642560
2022-06-05,29835,30118,29574,29907,17264085441,569996838237,20996850,19058977,397354887825,397335828848
2022-06-04,29706,29931,29500,29833,16588370958,568564420350,41993694,19058238,794709662103,794690603865
2022-06-03,30468,30633,29376,29704,26175547452,566088081691,20996847,19057638,397354831052,397335773414
2022-06-02,29795,30605,29653,30467,29083562061,580603466872,20996847,19056798,397354831052,397335774254
